rank,uid,username,type,accompany,medal_name,medal_level
1,301804470,ALIN-I,提督,94,u咪来,42
2,25151770,照夜玉柿子,舰长,129,u咪来,35
3,3494371510979288,万华镜mirai,舰长,89,u咪来,35
4,16797830,そらのほし,舰长,63,u咪来,33
5,42547938,咖卜骑糯,舰长,125,u咪来,31
6,506962014,bili_12512606953,舰长,134,u咪来,31
7,29113754,Epiphyllum丶丶,舰长,129,u咪来,30
8,10435062,星虎咪来i,舰长,89,u咪来,29
9,101990044,imay__,舰长,135,u咪来,28
10,62165773,Ar_紫,舰长,123,u咪来,28
11,20567181,小爱同学关下灯,舰长,129,u咪来,27
12,287929635,NuPException,舰长,135,u咪来,27
13,517313579,白米饭耶-曼波,舰长,46,u咪来,25
14,8318702,KiraCE73,舰长,28,u咪来,25
15,26493138,烟雨_鼠掉了喵,舰长,21,u咪来,25
16,8499244,良辰和星_Official,舰长,24,u咪来,21
