rank,uid,username,type,accompany,medal_name,medal_level
1,301804470,ALIN-I,提督,118,u咪来,42
2,25151770,照夜玉柿子,舰长,153,u咪来,35
3,3494371510979288,万华镜mirai,舰长,113,u咪来,35
4,16797830,そらのほし,舰长,87,u咪来,34
5,42547938,咖卜骑糯,舰长,149,u咪来,32
6,3546585180932133,一杯浓咖啡や,舰长,108,u咪来,31
7,506962014,bili_12512606953,舰长,158,u咪来,31
8,10435062,星虎咪来i,舰长,113,u咪来,30
9,101990044,imay__,舰长,159,u咪来,29
10,287929635,NuPException,舰长,159,u咪来,28
11,62165773,Ar_紫,舰长,147,u咪来,28
12,8318702,KiraCE73,舰长,52,u咪来,26
13,3691006499228203,唔系阿离qwq,舰长,3,u咪来,25
14,3755241,唧唧歪歪的说啥呢,舰长,24,u咪来,22
