rank,uid,username,type,accompany,medal_name,medal_level
1,301804470,ALIN-I,提督,120,u咪来,42
2,25151770,照夜玉柿子,舰长,155,u咪来,35
3,3494371510979288,万华镜mirai,舰长,115,u咪来,35
4,16797830,そらのほし,舰长,89,u咪来,34
5,42547938,咖卜骑糯,舰长,151,u咪来,32
6,3546585180932133,一杯浓咖啡や,舰长,110,u咪来,31
7,506962014,bili_12512606953,舰长,160,u咪来,31
8,29113754,Epiphyllum丶丶,舰长,153,u咪来,31
9,10435062,星虎咪来i,舰长,115,u咪来,30
10,101990044,imay__,舰长,161,u咪来,29
11,287929635,NuPException,舰长,161,u咪来,28
12,62165773,Ar_紫,舰长,149,u咪来,28
13,3691006499228203,唔系阿离qwq,舰长,5,u咪来,26
14,8318702,KiraCE73,舰长,54,u咪来,26
15,3755241,唧唧歪歪的说啥呢,舰长,26,u咪来,22
