rank,uid,username,type,accompany,medal_name,medal_level
1,301804470,这猫好大只,提督,26,u咪来,42
2,25151770,照夜玉柿子,舰长,61,u咪来,31
3,29113754,Epiphyllum丶丶,舰长,61,u咪来,30
4,4713118,我看你也是风韵犹存呢,舰长,56,u咪来,28
5,506962014,bili_12512606953,舰长,66,u咪来,27
6,395692114,yuki_asakaze,舰长,65,u咪来,27
7,3494371510979288,浸梦海床,舰长,21,u咪来,27
8,42547938,咖卜骑糯,舰长,57,u咪来,27
9,6369479,免肆,舰长,54,u咪来,26
10,101990044,imay__,舰长,67,u咪来,26
11,287929635,NuPException,舰长,67,u咪来,26
12,2059921,鬼冢镜,舰长,67,u咪来,25
13,20567181,小爱同学关下灯,舰长,61,u咪来,25
14,62165773,Ar_紫,舰长,55,u咪来,25
15,1754674448,云聚日沉,舰长,29,u咪来,24
16,517546152,嗨皮酒吧,舰长,20,u咪来,23
17,10435062,星鱼咪来i-,舰长,21,u咪来,23
18,5092994,ALin-INTP,舰长,10,u咪来,23
19,481601612,冷冷环,舰长,11,u咪来,21
20,21598290,AAA砚星楼月师傅,舰长,20,u咪来,21
21,1168544985,1uxien,舰长,4,u咪来,21
