rank,uid,username,type,accompany,medal_name,medal_level
1,6192323,メカ紫陽花,舰长,48,u咪来,33
2,25151770,照夜玉柿子,舰长,42,u咪来,30
3,29113754,昙花丶_,舰长,42,u咪来,30
4,74010949,千谋百计,舰长,44,u咪来,29
5,4713118,我看你也是风韵犹存呢,舰长,37,u咪来,28
6,3546585180932133,一杯浓咖啡や,舰长,45,u咪来,27
7,395692114,yuki_asakaze,舰长,46,u咪来,27
8,301804470,ALin-INTP,舰长,7,u咪来,27
9,506962014,bili_12512606953,舰长,47,u咪来,26
10,42547938,咖卜骑糯,舰长,38,u咪来,26
11,6369479,免肆,舰长,35,u咪来,25
12,129811694,河眠,舰长,47,u咪来,25
13,287929635,NuPException,舰长,48,u咪来,25
14,101990044,imay__,舰长,48,u咪来,24
15,62165773,Ar_紫,舰长,36,u咪来,24
16,2059921,鬼冢镜,舰长,48,u咪来,24
17,1754674448,云聚日沉,舰长,10,u咪来,24
18,9552376,乐楽豹,舰长,47,u咪来,24
19,20567181,小爱同学关下灯,舰长,42,u咪来,23
20,363980816,从此失去一根冰棍,舰长,14,u咪来,23
21,2082808421,帝宝想吃糯米团子,舰长,21,u咪来,22
22,10435062,不喝点就会死,舰长,2,u咪来,22
23,3494371510979288,浸梦海床,舰长,2,u咪来,21
