rank,uid,username,type,accompany,medal_name,medal_level
1,301804470,做个梦给星鱼,提督,21,u咪来,42
2,25151770,照夜玉柿子,舰长,56,u咪来,31
3,29113754,Epiphyllum丶丶,舰长,56,u咪来,30
4,74010949,千谋百计,舰长,58,u咪来,29
5,4713118,我看你也是风韵犹存呢,舰长,0,u咪来,28
6,3546585180932133,一杯浓咖啡や,舰长,59,u咪来,28
7,395692114,yuki_asakaze,舰长,60,u咪来,27
8,506962014,bili_12512606953,舰长,0,u咪来,27
9,42547938,咖卜骑糯,舰长,52,u咪来,26
10,3494371510979288,浸梦海床,舰长,0,u咪来,26
11,101990044,imay__,舰长,62,u咪来,26
12,6369479,免肆,舰长,49,u咪来,26
13,287929635,NuPException,舰长,62,u咪来,25
14,2059921,鬼冢镜,舰长,62,u咪来,25
15,129811694,河眠,舰长,61,u咪来,25
16,62165773,Ar_紫,舰长,50,u咪来,25
17,9552376,徒手拦截,舰长,61,u咪来,24
18,1754674448,云聚日沉,舰长,24,u咪来,24
19,20567181,小爱同学关下灯,舰长,56,u咪来,23
20,517546152,嗨皮酒吧,舰长,15,u咪来,23
21,363980816,从此失去一根冰棍,舰长,28,u咪来,23
22,5092994,ALin-INTP,舰长,5,u咪来,23
23,10435062,bili_10435062,舰长,16,u咪来,22
24,21598290,AAA砚星楼月师傅,舰长,15,u咪来,21
25,481601612,镜莲华丶丶,舰长,6,u咪来,21
