rank,uid,username,type,accompany,medal_name,medal_level
1,301804470,做个梦给星鱼,提督,23,u咪来,42
2,25151770,照夜玉柿子,舰长,58,u咪来,31
3,29113754,Epiphyllum丶丶,舰长,58,u咪来,30
4,74010949,千谋百计,舰长,60,u咪来,29
5,4713118,我看你也是风韵犹存呢,舰长,53,u咪来,28
6,3546585180932133,一杯浓咖啡や,舰长,61,u咪来,28
7,395692114,yuki_asakaze,舰长,62,u咪来,27
8,506962014,bili_12512606953,舰长,63,u咪来,27
9,42547938,咖卜骑糯,舰长,54,u咪来,27
10,3494371510979288,浸梦海床,舰长,18,u咪来,26
11,6369479,免肆,舰长,51,u咪来,26
12,101990044,imay__,舰长,64,u咪来,26
13,287929635,NuPException,舰长,64,u咪来,25
14,2059921,鬼冢镜,舰长,64,u咪来,25
15,62165773,Ar_紫,舰长,52,u咪来,25
16,1754674448,云聚日沉,舰长,26,u咪来,24
17,20567181,小爱同学关下灯,舰长,58,u咪来,24
18,517546152,嗨皮酒吧,舰长,17,u咪来,23
19,363980816,从此失去一根冰棍,舰长,30,u咪来,23
20,5092994,ALin-INTP,舰长,7,u咪来,23
21,10435062,bili_10435062,舰长,18,u咪来,22
22,481601612,镜莲华丶丶,舰长,8,u咪来,21
23,21598290,AAA砚星楼月师傅,舰长,17,u咪来,21
