rank,uid,username,type,accompany,medal_name,medal_level
1,301804470,ALIN-I,提督,72,u咪来,42
2,3494371510979288,万华镜mirai,提督,67,u咪来,34
3,16797830,そらのほし,提督,41,u咪来,33
4,25151770,照夜玉柿子,舰长,107,u咪来,35
5,3546585180932133,一杯浓咖啡や,舰长,72,u咪来,31
6,29113754,Epiphyllum丶丶,舰长,107,u咪来,30
7,42547938,咖卜骑糯,舰长,103,u咪来,30
8,506962014,bili_12512606953,舰长,112,u咪来,30
9,20567181,小爱同学关下灯,舰长,107,u咪来,27
10,287929635,NuPException,舰长,113,u咪来,27
11,10435062,星虎咪来i,舰长,67,u咪来,27
12,101990044,imay__,舰长,113,u咪来,27
13,62165773,Ar_紫,舰长,101,u咪来,27
14,8318702,KiraCE73,舰长,6,u咪来,25
15,517313579,白米饭耶-曼波,舰长,24,u咪来,25
16,314881392,leo11544,舰长,40,u咪来,23
17,1079379125,Tamaki_ii,舰长,30,u咪来,22
18,1466779615,叶秋疯i,舰长,12,u咪来,22
19,8499244,良辰和星_Official,舰长,2,u咪来,21
20,79213639,小祝歌,舰长,30,u咪来,21
