rank,uid,username,type,accompany,medal_name,medal_level
1,301804470,ALIN-I,提督,80,u咪来,42
2,3494371510979288,万华镜mirai,提督,75,u咪来,35
3,16797830,そらのほし,提督,49,u咪来,33
4,25151770,照夜玉柿子,舰长,115,u咪来,35
5,3546585180932133,一杯浓咖啡や,舰长,80,u咪来,31
6,42547938,咖卜骑糯,舰长,111,u咪来,30
7,506962014,bili_12512606953,舰长,120,u咪来,30
8,29113754,Epiphyllum丶丶,舰长,115,u咪来,30
9,101990044,imay__,舰长,121,u咪来,28
10,10435062,星虎咪来i,舰长,75,u咪来,28
11,20567181,小爱同学关下灯,舰长,115,u咪来,27
12,287929635,NuPException,舰长,121,u咪来,27
13,62165773,Ar_紫,舰长,109,u咪来,27
14,517313579,白米饭耶-曼波,舰长,32,u咪来,25
15,8318702,KiraCE73,舰长,14,u咪来,25
16,26493138,烟雨_鼠掉了喵,舰长,7,u咪来,24
17,314881392,leo11544,舰长,48,u咪来,23
18,1466779615,叶秋疯i,舰长,20,u咪来,22
19,8499244,良辰和星_Official,舰长,10,u咪来,21
