rank,uid,username,type,accompany,medal_name,medal_level
1,301804470,ALIN-I,提督,64,u咪来,42
2,3494371510979288,万华镜mirai,提督,59,u咪来,34
3,16797830,そらのほし,提督,33,u咪来,33
4,25151770,照夜玉柿子,舰长,99,u咪来,34
5,3546585180932133,一杯浓咖啡や,舰长,64,u咪来,31
6,29113754,Epiphyllum丶丶,舰长,99,u咪来,30
7,42547938,咖卜骑糯,舰长,95,u咪来,30
8,506962014,bili_12512606953,舰长,104,u咪来,30
9,4713118,我看你也是风韵犹存呢,舰长,94,u咪来,29
10,6369479,免肆,舰长,87,u咪来,28
11,20567181,小爱同学关下灯,舰长,99,u咪来,27
12,287929635,NuPException,舰长,105,u咪来,27
13,62165773,Ar_紫,舰长,93,u咪来,27
14,101990044,imay__,舰长,105,u咪来,27
15,10435062,星虎咪来i,舰长,59,u咪来,27
16,517313579,白米饭耶-曼波,舰长,16,u咪来,24
17,1901524034,不是汉谟是拉比,舰长,26,u咪来,24
18,314881392,leo11544,舰长,32,u咪来,23
19,1079379125,Tamaki_ii,舰长,22,u咪来,22
20,1466779615,叶秋疯i,舰长,4,u咪来,22
21,79213639,小祝歌,舰长,22,u咪来,21
