rank,uid,username,type,accompany,medal_name,medal_level
1,301804470,这猫好大只,提督,44,u咪来,42
2,25151770,照夜玉柿子,舰长,79,u咪来,32
3,29113754,Epiphyllum丶丶,舰长,79,u咪来,30
4,3494371510979288,万华镜mirai,舰长,39,u咪来,30
5,4713118,我看你也是风韵犹存呢,舰长,74,u咪来,29
6,506962014,bili_12512606953,舰长,84,u咪来,28
7,42547938,咖卜骑糯,舰长,75,u咪来,28
8,16797830,そらのほし,舰长,13,u咪来,28
9,6369479,免肆,舰长,67,u咪来,28
10,395692114,yuki_asakaze,舰长,83,u咪来,27
11,481601612,失忆症_i,舰长,29,u咪来,27
12,101990044,imay__,舰长,85,u咪来,26
13,62165773,Ar_紫,舰长,73,u咪来,26
14,287929635,NuPException,舰长,85,u咪来,26
15,20567181,小爱同学关下灯,舰长,79,u咪来,26
16,2059921,鬼冢镜,舰长,85,u咪来,26
17,10435062,星虎咪来i,舰长,39,u咪来,25
18,1754674448,云聚日沉,舰长,47,u咪来,24
19,1901524034,不是汉谟是拉比,舰长,6,u咪来,24
20,5092994,ALin-INTP,舰长,28,u咪来,23
21,237079141,_Kev1n_,舰长,15,u咪来,23
22,1168544985,1uxien,舰长,22,u咪来,22
23,314881392,leo11544,舰长,12,u咪来,21
24,1079379125,Tamaki_ii,舰长,2,u咪来,21
25,79213639,小祝歌,舰长,2,u咪来,21
