rank,uid,username,type,accompany,medal_name,medal_level
1,301804470,ALIN-I,提督,54,u咪来,42
2,25151770,照夜玉柿子,舰长,89,u咪来,33
3,29113754,Epiphyllum丶丶,舰长,89,u咪来,30
4,3494371510979288,万华镜mirai,舰长,49,u咪来,30
5,16797830,そらのほし,舰长,23,u咪来,29
6,506962014,bili_12512606953,舰长,94,u咪来,29
7,4713118,我看你也是风韵犹存呢,舰长,84,u咪来,29
8,42547938,咖卜骑糯,舰长,85,u咪来,29
9,6369479,免肆,舰长,77,u咪来,28
10,287929635,NuPException,舰长,95,u咪来,27
11,101990044,imay__,舰长,95,u咪来,27
12,62165773,Ar_紫,舰长,83,u咪来,26
13,20567181,小爱同学关下灯,舰长,89,u咪来,26
14,10435062,星虎咪来i,舰长,49,u咪来,26
15,517313579,白米饭耶-曼波,舰长,6,u咪来,24
16,1754674448,云聚日沉,舰长,57,u咪来,24
17,1901524034,不是汉谟是拉比,舰长,16,u咪来,24
18,237079141,_Kev1n_,舰长,25,u咪来,23
19,1079379125,Tamaki_ii,舰长,12,u咪来,21
20,314881392,leo11544,舰长,22,u咪来,21
21,79213639,小祝歌,舰长,12,u咪来,21
