rank,uid,username,type,accompany,medal_name,medal_level
1,301804470,这猫好大只,提督,36,u咪来,42
2,25151770,照夜玉柿子,舰长,71,u咪来,32
3,29113754,Epiphyllum丶丶,舰长,71,u咪来,30
4,4713118,我看你也是风韵犹存呢,舰长,66,u咪来,29
5,3494371510979288,浸梦海床,舰长,31,u咪来,28
6,42547938,咖卜骑糯,舰长,67,u咪来,28
7,506962014,bili_12512606953,舰长,76,u咪来,28
8,395692114,yuki_asakaze,舰长,75,u咪来,27
9,481601612,失忆症_i,舰长,21,u咪来,27
10,16797830,そらのほし,舰长,5,u咪来,27
11,101990044,imay__,舰长,77,u咪来,26
12,62165773,Ar_紫,舰长,65,u咪来,26
13,287929635,NuPException,舰长,77,u咪来,26
14,2059921,鬼冢镜,舰长,77,u咪来,25
15,20567181,小爱同学关下灯,舰长,71,u咪来,25
16,10435062,星鱼咪来i-,舰长,31,u咪来,25
17,1754674448,云聚日沉,舰长,39,u咪来,24
18,517546152,嗨皮酒吧,舰长,30,u咪来,24
19,5092994,ALin-INTP,舰长,20,u咪来,23
20,237079141,_Kev1n_,舰长,7,u咪来,23
21,1168544985,1uxien,舰长,14,u咪来,22
22,21598290,AAA砚星楼月师傅,舰长,30,u咪来,22
23,314881392,leo11544,舰长,4,u咪来,21
