rank,uid,username,type,accompany,medal_name,medal_level
1,301804470,ALIN-I,提督,149,u咪来,42
2,3494371510979288,万华镜mirai,舰长,144,u咪来,35
3,16797830,そらのほし_真爱蜜汁,舰长,118,u咪来,34
4,42547938,咖卜骑糯,舰长,180,u咪来,32
5,3546585180932133,一杯浓咖啡や,舰长,132,u咪来,31
6,506962014,bili_12512606953,舰长,189,u咪来,31
7,10435062,星虎咪来i,舰长,144,u咪来,30
8,101990044,imay__,舰长,190,u咪来,30
9,62165773,Ar_紫,舰长,178,u咪来,29
10,287929635,NuPException,舰长,190,u咪来,29
11,486624636,YingL7,舰长,5,u咪来,27
12,8318702,KiraCE73,舰长,83,u咪来,26
13,336726549,很难骗到的大黄猫,舰长,30,u咪来,23
14,3546879740610872,池野藻,舰长,24,u咪来,22
15,220973608,森么都布吉岛,舰长,28,u咪来,21
